Aspect of Care	Recommendation	Sources	AUA2020	DGU2020	EAU-ASCO2025	ESMO2024	NCCN2025
**Diagnosis & Staging**	**Definitive diagnosis must be achieved through tissue sampling/excision.** A pre-treatment biopsy of the primary lesion is required, especially when malignancy is not clinically obvious or when non-surgical treatment (e.g., topical agents, laser, radiotherapy) is planned.	0	1	1	1	1	1
**Diagnosis & Staging**	**A thorough physical examination of the primary lesion is required** to assess and record its size, location, morphology, and involvement of adjacent structures like the corporal body or urethra.	0	1	1	1	1	1
**Diagnosis & Staging**	**A physical examination of both groins must be performed to palpate for lymphadenopathy.** The number, laterality, and characteristics (e.g., mobile, fixed) of any palpable or suspicious inguinal nodes should be recorded.	0	1	1	1	1	1
**Diagnosis & Staging**	**Perform magnetic resonance imaging (MRI) or penile ultrasound (US) of the primary tumor** when there is uncertainty regarding corporal invasion (T3) and/or the feasibility of organ-sparing surgery.	0	1	1	1	1	1
**Diagnosis & Staging**	**Computerized tomography (CT) of the chest, abdomen, and pelvis is performed to evaluate for distant metastatic spread.** For high-risk or node-positive disease, ¹⁸F-FDG-PET/CT can also be used.	0	1	1	1	1	1
**Diagnosis & Staging**	Cross-sectional imaging (CT, PET/CT) for primary staging should generally be reserved for T3/T4 tumors or in cases of positive lymph node status.	0	1	1	1	1	1
**Diagnosis & Staging**	For superficial, non-invasive penile carcinomas (Carcinoma in situ), a fluorescence-diagnostic technique can be used to better determine the extent of the lesion.	0	1	1	1	1	1
**Diagnosis & Staging**	**For clinically node-negative (cN0) low-risk tumors (PeIN, pTa, pT1a G1), surveillance of the inguinal lymph nodes is recommended** instead of operative staging.	0	1	1	1	1	1
**Diagnosis & Staging**	For clinically node-negative (cN0) intermediate-risk tumors (T1a G2), surveillance may be discussed as an alternative to surgical staging with patients who are willing to comply with strict follow-up.	0	1	1	1	1	1
**Diagnosis & Staging**	**For clinically node-negative (cN0) intermediate/high-risk tumors (≥pT1b, or high grade), invasive surgical lymph node staging is recommended.**	0	1	1	1	1	1
**Diagnosis & Staging**	**The preferred method for surgical staging in cN0 patients is dynamic sentinel node biopsy (DSNB).** If DSNB is unavailable or not feasible, modified inguinal lymph node dissection (ILND) is an alternative. If DSNB is positive, a completion ILND is recommended.	0	1	1	1	1	1
**Diagnosis & Staging**	If DSNB is planned, perform inguinal ultrasound (US) first, with fine needle aspiration cytology (FNAC) of any sonographically abnormal lymph nodes.	0	1	1	1	1	1
**Diagnosis & Staging**	In cN0 patients undergoing staging, frozen section analysis should not be performed on tissue from a modified inguinal lymphadenectomy or DSNB.	0	1	1	1	1	1
**Diagnosis & Staging**	**For clinically node-positive (cN+) disease, an (image-guided) biopsy of the suspicious node is required to confirm metastasis before initiating treatment.**	0	1	1	1	1	1
**Primary Treatment (General Principles)**	**Patients with early-stage, low-grade, and non-invasive tumors should be offered organ- and function-preserving therapy,** depending on the tumor stage and differentiation grade.	0	1	1	1	1	1
**Primary Treatment (General Principles)**	**The goal of surgical treatment is complete excision with negative margins (R0).** A margin of 5 mm for G1/G2 tumors and 10 mm for G3 tumors is suggested. In case of a positive surgical margin, a re-excision should be performed.	0	1	1	1	1	1
**Primary Treatment (General Principles)**	**Offer patients a balanced and individualized discussion on the benefits and harms of possible treatment options.** Inform them of the higher risk of local recurrence when using organ-sparing treatments compared to amputative surgery.	0	1	1	1	1	1
**Primary Treatment (Topical Therapy)**	**Topical therapy with 5-fluorouracil (5-FU) or imiquimod can be offered to patients with biopsy-confirmed superficial disease (PeIN/Tis, Ta).** Patients should be informed about limited efficacy and potential off-label use.	0	1	1	1	1	1
**Primary Treatment (Topical Therapy)**	**If topical treatment fails, it should not be repeated.**	0	1	1	1	1	1
**Primary Treatment (Topical Therapy)**	Example regimens for topical therapy include: <br> • **Imiquimod 5% cream:** Apply at night three times per week for 4–16 weeks. <br> • **5-FU cream 5%:** Apply twice daily for 2–6 weeks.	0	1	1	1	1	1
**Primary Treatment (Topical Therapy)**	Topical therapy is ineffective for more advanced stages of penile cancer.	0	1	1	1	1	1
**Primary Treatment (Laser Therapy)**	**Laser ablation (e.g., CO₂ or Nd:YAG laser) can be used for biopsy-confirmed superficial or early-stage tumors (PeIN/Tis, Ta, T1).**	0	1	1	1	1	1
**Primary Treatment (Laser Therapy)**	A surgical margin of 5 mm is considered oncologically safe for laser therapy.	0	1	1	1	1	1
**Primary Treatment (Post-Therapy Biopsy)**	**After topical or laser therapy, a control biopsy should be performed to verify local tumor control,** especially in cases of clinical doubt.	0	1	1	1	1	1
**Primary Treatment (Surgical)**	**Organ-sparing surgery options (circumcision, wide local excision, glansectomy, Mohs) are offered for lesions confined to the glans and prepuce (PeIN, Ta, T1-T2)** in patients willing to comply with strict follow-up.	0	1	1	1	1	1
**Primary Treatment (Surgical)**	**Intra-operative frozen section analysis of resection margins should be performed** to confirm negative margins, especially in cases of doubt.	0	1	1	1	1	1
**Primary Treatment (Surgical)**	**Circumcision can be a curative treatment for tumors confined to the prepuce (PeIN/Tis, Ta).**	0	1	1	1	1	1
**Primary Treatment (Surgical)**	When using radiotherapy or topical therapy for a preputial lesion, a circumcision should be performed first.	0	1	1	1	1	1
**Primary Treatment (Surgical)**	**Wide local excision (WLE) is an option for early-stage tumors (PeIN, Ta, T1).** Complete excision with wide negative margins is required.	0	1	1	1	1	1
**Primary Treatment (Surgical)**	**Mohs micrographic surgery can be considered as an alternative to WLE for select, low-grade, superficial lesions,** particularly on the glans or distal penis, if the appropriate expertise is available.	0	1	1	1	1	1
**Primary Treatment (Surgical)**	**Glansectomy (partial or total) or glans resurfacing are options for tumors located on the glans penis (PeIN, Ta, T1-T2).** Reconstruction may be performed with a split-thickness skin graft.	0	1	1	1	1	1
**Primary Treatment (Surgical)**	**Partial or total penectomy is recommended for patients with higher stage tumors (T2, T3, T4), particularly with invasion of the corpora cavernosa,** unfavorable histopathology, or for those not suitable for organ-sparing approaches.	0	1	1	1	1	1
**Primary Treatment (Radiotherapy)**	**Radiotherapy (often brachytherapy) can be an alternative to surgery for selected patients with T1-T2 tumors (<4 cm),** particularly those who are unfit for surgery. Patients should be informed of a potentially lower local control rate compared to surgery.	0	1	1	1	1	1
**Primary Treatment (Radiotherapy)**	For T3–4 or N+ surgically unresectable disease, consider EBRT with concurrent chemotherapy to the penis and regional lymph nodes.	0	1	1	1	1	1
**Primary Treatment (Radiotherapy)**	Specific radiotherapy doses may include: <br> • **EBRT:** 66-74 Gy in 2 Gy fractions. <br> • **Brachytherapy (HDR):** 42-45 Gy in 12-14 fractions. <br> • **Brachytherapy (LDR/PDR):** 60-65 Gy delivered continuously over ~5 days.	0	1	1	1	1	1
**Primary Treatment (Multimodal)**	For non-resectable, locally advanced primary tumors (T4), consider induction/neoadjuvant chemotherapy followed by surgery for responders, or chemo-radiotherapy.	0	1	1	1	1	1
**Recurrent Disease**	**Local recurrence after organ-sparing surgery should be treated according to the principles of primary tumor management.** Small, non-invasive recurrences can be treated with salvage organ-sparing options.	0	1	1	1	1	1
**Recurrent Disease**	For large local recurrences or those with invasion of the corpora cavernosa, partial or total penectomy is warranted.	0	1	1	1	1	1
**Recurrent Disease**	After radiotherapy, local recurrence should be treated with surgical salvage therapy.	0	1	1	1	1	1
**Recurrent Disease**	After topical or laser therapy, local recurrence should be treated with a different treatment modality.	0	1	1	1	1	1
**Recurrent Disease**	Regional lymph node recurrence after initial surveillance should be managed according to the same principles as primary lymph node metastases (i.e., with ILND +/- systemic therapy).	0	1	1	1	1	1
**Recurrent Disease**	Regional lymph node recurrence after a prior radical lymphadenectomy should be managed with a multimodal approach, including neoadjuvant chemotherapy, surgery, and/or radiotherapy.	0	1	1	1	1	1
**Lymph Node Management**	Following circumcision for a primary tumor, patients with moderately or poorly differentiated tumors (grades 2 and 3) will require inguinal node dissection.	0	1	1	1	1	1
