cache_tokens_details=None cached_content_token_count=None candidates_token_count=1326 candidates_tokens_details=None prompt_token_count=25055 prompt_tokens_details=[ModalityTokenCount(modality=<MediaModality.TEXT: 'TEXT'>, token_count=21701), ModalityTokenCount(modality=<MediaModality.DOCUMENT: 'DOCUMENT'>, token_count=3354)] thoughts_token_count=2834 tool_use_prompt_token_count=None tool_use_prompt_tokens_details=None total_token_count=29215 traffic_type=None


**Extraction of Explicit Penile Cancer Treatment Recommendations**

My analysis of the provided research paper has yielded the following explicit treatment recommendations, categorized for clarity:

| Aspect of Care          | Recommendation                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| :----------------------- | :------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| **Primary Treatment** | - Surgical treatment remains the mainstay of therapy, encompassing extirpative treatment of the primary penile lesion with consideration of additional inguinal lymph node dissection (ILND) for patients exhibiting high-risk disease features on pathological examination of the index tumor or regional advancement on clinical evaluation. This may include penile-sparing surgery, such as glansectomy and glans resurfacing in specific cases.                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| **Lymph Node Management** | - For clinically node-negative patients with high-risk primary tumors (≥pT1b, N0), or those with palpable or visible disease on imaging (pTany, N1-3), **bilateral ILND is considered a standard-of-care option.**<br>- For treatment of patients with high-risk primary penile cancer and clinically negative groins, **modified ILND techniques are proposed** to limit the incision size by excluding nodal dissection lateral to the femoral artery (medial dissection technique) and distal to fossa ovalis, with preservation of the greater saphenous vein, and elimination of the Sartorius muscle flap.                                                                                                                                                                                                                                                                                                                                                                                                  <br>- **Expansion of the modified ILND template is suggested** to include lymph nodes from the midpoint of the adductor longus to the lateral border of the sartorius muscle, with intraoperative frozen section analysis to guide the extent of the dissection (superficial ILND).<br>-  **Fascial-sparing dissection** is proposed as a further refinement, encompassing removal of nodal tissue within fossa ovalis.<br>-  **Minimally invasive approaches** (laparoscopic and robotic) are proposed to minimize the morbidity of groin dissections. |
| **Intraoperative Care**    |  - Implement atraumatic handling of anatomic structures to minimize tissue devitalization. <br>- Exercise careful control of lymphatics and small vessels (clips, ties), especially during inguinal surgery. <br>- Judiciously use closed surgical suction drains. <br>- Employ incisions that follow natural skin creases (Langerhans lines) and avoid S- and T-shaped incisions. <br>- Create a skin flap beneath the Scarpa fascia during ILND to preserve dermal microvasculature. <br>- Cover the inguinal node dissection site with myocutaneous flaps when primary closure may cause excessive wound tension or following prior radiotherapy. <br>- Perform risk-stratified, patient-tailored surgical dissections such as modified superficial or fascial-sparing ILND, dynamic sentinel node biopsy (DSNB) or utilizing minimally invasive surgical platforms.                                                                                                                                                                                                     |
| **Perioperative & Postoperative Care (General)**  | - Ensure the appropriate use of antibiotics, with the initial dose administered within 1 hour of the surgical incision.<br>- Continue antibiotic therapy (intravenously or orally) for either 24 hours (for penile surgery) or until surgical drains are removed (for ILND).<br>- Implement DVT prophylaxis and encourage early ambulation.<br>- Perform simple measures to demarcate and track areas of skin erythema or discoloration for early diagnosis and treatment-response assessment. <br>- Optimize nutritional support in patients with low albumin or poor health. <br> - Perform daily wound checks and lower extremity examination.  - Ensure wound care is done regularly and involve specialists (wound care, nutrition, lymphedema) early in the post-operative period.                                  |
| **Perioperative & Postoperative Care (Primary Penile Surgery Specific)** | - Apply compressive surgical dressings for 2–7 days.  <br>- Remove the Foley catheter early, typically around 7 days post-operatively.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| **Perioperative & Postoperative Care (ILND Specific)** | - Use compression stockings.<br>- Monitor daily "ins/outs" with stripping of drains. <br>- Remove the Foley catheter early, typically by postoperative day 2, although may be kept in longer depending on the patient's baseline voiding status.<br>- Manage drains by monitoring output and consistency, maintaining until drainage is <30-50 mL per 24 hours. Consider using chlor


**Extraction of Explicit Penile Cancer Treatment Recommendations**
