cache_tokens_details=None cached_content_token_count=None candidates_token_count=402 candidates_tokens_details=None prompt_token_count=23352 prompt_tokens_details=[ModalityTokenCount(modality=<MediaModality.TEXT: 'TEXT'>, token_count=19482), ModalityTokenCount(modality=<MediaModality.DOCUMENT: 'DOCUMENT'>, token_count=3870)] thoughts_token_count=2177 tool_use_prompt_token_count=None tool_use_prompt_tokens_details=None total_token_count=25931 traffic_type=None


**Detailed Summary of Treatment Recommendations from a Penile Cancer Systematic Review**

Alright, here's the breakdown of the treatment recommendations I've extracted from this penile cancer systematic review. I've been meticulous, making sure to capture *explicit* recommendations, considering the specifics of clinical indications, modalities, and any conditions mentioned. The paper itself leans heavily on summarizing existing evidence, so direct recommendations were somewhat limited, but I believe I've captured them all based on the guidelines cited and the presented context. Here's what I've got:

| Aspect of Care              | Recommendation                                                                                                                                                                                                                                                                                                                              |
| :-------------------------- | :------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ |
| Primary Treatment (Conservative) | For carcinoma in situ (Tis): Consider topical creams containing 5-fluorouracil or imiquimod.                                                                                                                                                                                                                                                |
| Primary Treatment (Conservative) | For small, localized lesions: Consider laser ablation or circumcision.                                                                                                                                                                                                                                                                   |
| Primary Treatment (Surgical)     | For more invasive cases (stage unspecified, but implied as beyond "small, localized" lesions): Consider partial or total penectomy, with or without urinary diversion, and inguinal lymph node dissection.                                                                                                                              |
| Primary Treatment (Radiation)    |  Consider radiation therapy.                                                                                                                                                                                                                                                                                                              |
| Systemic Therapy              | For advanced or metastatic disease: Cisplatin-based chemotherapy regimens (e.g., TIP) should be considered.                                                                                                                                                                                                                               |
| Systemic Therapy (Immunotherapy) | The ESMO clinical practice guidelines recommend the consideration of immune checkpoint inhibitors (ICIs) for PSCC patients with MSI-High status *or* TMB-High status who are resistant to standard therapies.                                                                                                                             |
| General Care Principles     | As recommended by EAU-ASCO 2024 guidelines, care should be centralized to high-volume tertiary centers.                                                                                                                                                                                                                                      |



**Detailed Summary of Treatment Recommendations from a Penile Cancer Systematic Review**

Alright, here's the breakdown of the treatment recommendations I've extracted from this penile cancer systematic review. I've been meticulous, making sure to capture *explicit* recommendations, considering the specifics of clinical indications, modalities, and any conditions mentioned. The paper itself leans heavily on summarizing existing evidence, so direct recommendations were somewhat limited, but I believe I've captured them all based on the guidelines cited and the presented context. Here's what I've got:

| Aspect of Care              | Recommendation                                                                                                                                                                                                                                                                                                                              |
| :-------------------------- | :------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ |
| Primary Treatment (Conservative) | For carcinoma in situ (Tis): Consider topical creams containing 5-fluorouracil or imiquimod.                                                                                                                                                                                                                                                |
| Primary Treatment (Conservative) | For small, localized lesions: Consider laser ablation or circumcision.                                                                                                                                                                                                                                                                   |
| Primary Treatment (Surgical)     | For more invasive cases (stage unspecified, but implied as beyond "small, localized" lesions): Consider partial or total penectomy, with or without urinary diversion, and inguinal lymph node dissection.                                                                                                                              |
| Primary Treatment (Radiation)    |  Consider radiation therapy.                                                                                                                                                                                                                                                                                                              |
| Systemic Therapy              | For advanced or metastatic disease: Cisplatin-based chemotherapy regimens (e.g., TIP) should be considered.                                                                                                                                                                                                                               |
| Systemic Therapy (Immunotherapy) | The ESMO clinical practice guidelines recommend the consideration of immune checkpoint inhibitors (ICIs) for PSCC patients with MSI-High status *or* TMB-High status who are resistant to standard therapies.                                                                                                                             |
| General Care Principles     | As recommended by EAU-ASCO 2024 guidelines, care should be centralized to high-volume tertiary centers.                                                                                                                                                                                                                                      |
 Based on the systematic review provided, the following explicit treatment recommendations and descriptions of treatment modalities have been extracted and organized as requested.

| Aspect of Care | Recommendation |
| :--- | :--- |
| **Primary Treatment (Conservative)** | **Modality:** Topical creams containing 5-fluorouracil or imiquimod.<br>**Indication:** For carcinoma in situ (Tis). |
| **Primary Treatment (Conservative)** | **Modality:** Laser ablation or circumcision.<br>**Indication:** For small, localized lesions. |
| **Primary Treatment (Surgical)** | **Modality:** Partial or total penectomy, with or without urinary diversion and inguinal lymph node dissection.<br>**Indication:** For more invasive cases (stages beyond small, localized lesions). |
| **Primary Treatment** | **Modality:** Radiation therapy.<br>**Indication:** Described as a treatment option for penile cancer; specific stage or condition not detailed in the paper. |
| **Systemic Therapy (Chemotherapy)** | **Modality:** Chemotherapy, typically cisplatin-based regimens (e.g., TIP regimen: paclitaxel, ifosfamide, and cisplatin).<br>**Indication:** For advanced or metastatic disease. |
| **Systemic Therapy (Immunotherapy)** | **Modality:** Consideration of immune checkpoint inhibitors (ICIs).<br>**Indication:** For patients with penile squamous cell carcinoma (PSCC) who are resistant to standard therapies and have either Microsatellite Instability-High (MSI-High) or high Tumor Mutational Burden (TMB-High) status. (Based on ESMO clinical practice guidelines). |
| **General Care Principles** | **Modality / Action:** Centralization of care.<br>**Indication:** Recommended for all patients with penile cancer to be managed in centralized high-volume tertiary centers. (Based on EAU-ASCO 2024 guidelines). |
