Aspect of Care	Recommendation	Papers	AUA2020	DGU2020	EAU-ASCO2025	ESMO2024	NCCN2025
**General Principles / Management**	All patients with penile cancer should be managed in centralized high-volume tertiary centers by an experienced multidisciplinary team to facilitate individualized management and optimize outcomes.	0	1	1	1	1	1
**General Principles / Management**	For patients with locally advanced disease who are kidney transplant recipients, treatment should be individualized to minimize graft injury, preferring non-cytotoxic options over radiotherapy and cytotoxic treatments.	0	1	1	1	1	1
**General Principles / Management**	For patients with Penile Metastasis (PM), surgery and chemotherapy are common treatment approaches.	0	1	1	1	1	1
**Cancer Prevention**	Voluntary, safe male circumcision (childhood/adolescent) is an effective strategy to reduce the incidence and persistence of penile HPV infection and prevent penile cancer.	0	1	1	1	1	1
**Cancer Prevention**	HPV vaccination, particularly early vaccination of boys (e.g., at ages 11-13) before the onset of sexual activity, is recommended to prevent infection with high-risk HPV. Vaccines covering HPV6 and HPV11 may be more adequate for preventing penile neoplasia.	0	1	1	1	1	1
**Cancer Prevention**	The use of male condoms is recommended as the most effective method for reducing the transmission of Sexually Transmitted Infections (STIs) like HPV and HIV, which are established risk factors for penile cancer.	0	1	1	1	1	1
**Complication Management**	**Primary Penile Surgery Complications:**<br>• **Surgical Site Infections (SSIs):** Manage with empirical antibiotics, transitioning to culture-specific therapy, along with regular wet-to-dry dressing changes.<br>• **Meatal Stenosis:** Manage with self-catheterization or formal surgical revision.<br>• **Partial Skin Graft Loss:** Manage expectantly with observation.<br>• **Total Skin Graft Loss:** Manage with wet-to-dry dressing changes followed by delayed regrafting.	0	1	1	1	1	1
**Complication Management**	"**Inguinal Surgery Complications - Wound Issues:**<br>• **Infected Inguinal Wounds:** Manage with meticulous wound care, daily inspection, and culture-specific antibiotics.<br>• **Wound Dehiscence / Flap Necrosis:** Manage with wet-to-dry dressings or vacuum-assisted closure (VAC) dressings, followed by delayed closure.<br>• **Patients with Large Body Habitus:** Place dry gauze (""Interdry"") in groin folds to prevent moisture buildup."	0	1	1	1	1	1
**Complication Management**	**Inguinal Surgery Complications - Fluid Collections:**<br>• **Refractory Seroma/Lymphocele:** Management may require image-guided drain placement, lymphatic embolization, or operative exploration.<br>• **Lower Extremity Lymphedema:** Minimize risk with saphenous-vein sparing techniques, prevention of SSIs, early use of fitted compression devices, and a preemptive referral to a lymphedema specialist.	0	1	1	1	1	1
**Complication Management**	For patients who develop lower extremity lymphedema following inguinal lymphadenectomy, microsurgical lymphovenous bypass is a valuable prophylactic or therapeutic intervention.	0	1	1	1	1	1
